	ENDO_REC_nonPR_Hols_1	ENDO_REC_nonPR_Hols_2	ENDO_REC_nonPR_Hols_3	ENDO_REC_nonPR_Hols_4	ENDO_REC_nonPR_Hols_5	ENDO_REC_nonPR_Hols_6	ENDO_REC_nonPR_Hols_7	ENDO_REC_nonPR_Hols_8	ENDO_REC_nonPR_Hols_9	ENDO_REC_nonPR_Hols_10	ENDO_REC_nonPR_Hols_11	ENDO_REC_PR_Hols_1	ENDO_REC_PR_Hols_2	ENDO_REC_PR_Hols_3	ENDO_REC_PR_Hols_4	ENDO_REC_PR_Hols_5	ENDO_REC_PR_Hols_6	ENDO_REC_PR_Hols_7	ENDO_REC_PR_Hols_8	ENDO_REC_PR_Jap_1	ENDO_REC_PR_Jap_2	ENDO_REC_PR_Jap_3	ENDO_REC_PR_Jap_4	ENDO_REC_PR_Jap_5	ENDO_REC_PR_Jap_6	ENDO_REC_nonPR_Jap_1	ENDO_REC_nonPR_Jap_2	ENDO_REC_nonPR_Jap_3	ENDO_REC_nonPR_Jap_4	ENDO_REC_nonPR_Jap_5	ENDO_REC_nonPR_Sim_1	ENDO_REC_nonPR_Sim_2	ENDO_REC_nonPR_Sim_3	ENDO_REC_PR_Sim_1	ENDO_REC_PR_Sim_2	ENDO_REC_PR_Sim_3	ENDO_REC_PR_Cont_1	ENDO_REC_PR_Cont_2	ENDO_REC_PR_Cont_3	ENDO_REC_PR_Cont_4	ENDO_REC_PR_Cont_5	ENDO_REC_PR_Cont_6	ENDO_REC_nonPR_Cont_1	ENDO_REC_nonPR_Cont_2	ENDO_REC_nonPR_Cont_3	ENDO_REC_nonPR_Cont_4	ENDO_REC_nonPR_Cont_5	ENDO_REC_nonPR_Cont_6	ENDO_REC_nonPR_Sim2_1	ENDO_REC_nonPR_Sim2_2	ENDO_REC_nonPR_Sim2_3	ENDO_REC_PR_Sim2_1	ENDO_REC_PR_Sim2_2	ENDO_REC_PR_Sim2_3	VITRO_REC_Zo_IVT_NP_3	VITRO_REC_Zo_IVT_NP_6	VITRO_REC_Zo_IVT_NP_10	VITRO_REC_Zo_IVT_NP_13	VITRO_REC_Zo_IVT_NP_15	VITRO_REC_Zo_IVT_NP_18	VITRO_REC_Zo_IVT_NP_20	VITRO_REC_Zo_IVT_NP_21	VITRO_REC_Zo_IVT_NP_23	VITRO_REC_Zo_IVT_NP_26	VITRO_REC_Zo_IVT_NP_28	VITRO_REC_Zo_IVT_PR_1	VITRO_REC_Zo_IVT_PR_2	VITRO_REC_Zo_IVT_PR_3	VITRO_REC_Zo_IVT_PR_5	VITRO_REC_Zo_IVT_PR_7	VITRO_REC_SW_IVT_NP_1	VITRO_REC_SW_IVT_NP_2	VITRO_REC_SW_IVT_NP_3	VITRO_REC_SW_IVT_NP_4	VITRO_REC_SW_IVT_NP_5	VITRO_REC_SW_IVT_NP_6	VITRO_REC_SW_IVT_PR_1	VITRO_REC_SW_IVT_PR_2	VITRO_REC_SW_IVT_PR_3	VITRO_REC_SW_IVT_PR_4
VITRO_LIG_Zo_IVT_NP_15	62089.0674665733	62439.2060975249	62866.8665387831	63722.043712647	63023.7439416412	62691.0940266458	62271.7564261228	62319.1080249717	62129.886736644	62699.2877300937	60969.1254159439	64016.8669016864	64315.6946755706	62631.5658603657	62286.8948349809	62426.8853090641	62787.1260260429	62739.7838977381	63373.5431735761	64025.3986571029	63840.6431548697	63959.7014353167	63913.8445657285	64144.6098852604	63296.6227697143	63251.8146438514	63464.2569914541	63424.1754727213	64047.202728185	62869.6081875268	58913.3834749627	59216.2990939441	59556.1255748197	58891.1066577878	59029.6664013951	59249.2010315276	58671.9885654967	58969.2031387979	59461.4701565136	60374.5094057178	59770.6274004824	58949.8851092661	58751.082067988	59292.2804981827	59094.9854701123	58708.5734210049	59884.1812328646	58097.5275041982	58742.0672829615	58393.3042304729	59817.7530567716	60179.0569165951	60006.6913648569	58118.5031350817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_NP_18	63594.5450063273	63954.3990939979	64371.026807224	65293.6140589024	64531.7647007281	64256.4121702789	63800.7280774004	63805.1814378647	63650.4067853149	64222.0525285873	62405.9758299021	65571.9029192066	65930.2931094341	64159.7842299419	63839.1102105044	63963.2220645311	64375.9176842916	64312.6915225013	64931.4719884962	65608.5561790601	65397.5091895504	65573.7542138316	65496.3004668142	65707.9168542753	64803.9169369287	64753.3285880846	64999.3840934469	64981.9156036946	65638.9085839985	64397.3949330922	60281.0353109023	60561.5514441053	60970.7788125122	60231.9935092868	60369.5861789335	60619.2102622255	60011.8230990533	60292.0994237345	60855.0294698532	61796.2626475627	61169.170498054	60304.7523942237	60127.3800107693	60678.3013003164	60442.6573144695	60040.345875988	61274.0037689785	59435.9788195798	60106.8686040455	59716.0677804498	61224.8951150578	61575.3636658928	61399.7082244106	59444.9867165064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_NP_20	62493.0622087919	62862.9269899498	63266.778794556	64132.6569443558	63368.5357263963	63097.4400061547	62684.2251034589	62700.0032580229	62535.0207471158	63080.8174922014	61326.6404421153	64437.8136163132	64748.6333114896	63053.478968652	62682.2652365595	62816.5618221545	63205.6792812742	63125.8152644325	63754.4262124902	64474.5667805798	64291.1394767742	64416.1855551846	64370.1458853922	64602.3460851417	63706.0408379843	63676.6935958265	63862.9939627938	63860.0153101021	64467.3663863082	63256.6194269782	59267.7802226317	59574.4704334677	59931.4307433828	59251.1326266199	59377.0806188473	59585.0977910923	58990.725559073	59292.0567515983	59834.7705796256	60764.8611883587	60133.358973841	59308.1320515914	59137.3374425706	59640.6257709265	59458.2033926634	59058.2866836526	60258.6263781678	58431.1592838234	59084.5615651947	58738.2658736594	60215.9541385737	60546.7141577453	60407.1841591544	58448.1305674833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_NP_21	64842.2219142076	65223.3750993959	65657.5623632227	66526.736717075	65755.7257487121	65464.4957775118	65042.047165249	65085.0813304501	64881.0454861029	65460.9380632519	63687.7107262271	66828.7883786412	67141.0603986467	65414.9744694479	65017.9512872547	65187.2782398025	65620.7549553765	65532.1916681447	66173.9081777718	66884.6650904184	66684.4048211032	66815.9099248682	66763.8900409911	67024.7964751509	66092.3263747664	66058.2490326285	66251.291767765	66247.5384000651	66862.7626064269	65641.2757830607	61553.7992598521	61835.9641364625	62231.4554467511	61515.3426006949	61626.7282717025	61860.7303316398	61291.3677072416	61590.2503192155	62072.2664128312	63046.3029450494	62463.6180556059	61587.6916371767	61370.0564197242	61890.6794717919	61694.0286755912	61329.0733437892	62574.26275381	60693.7423354971	61373.3646034218	61014.3943467817	62481.5462325451	62825.7523878811	62658.576032088	60702.094007588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_NP_23	64094.6700088806	64486.4385204377	64921.3508639845	65865.3147356134	65047.6819748367	64756.8515183212	64325.0681019998	64357.9083419667	64144.86939634	64740.2624550371	62971.6469236892	66122.6672665226	66472.3983990909	64696.636941983	64339.5999997911	64459.354931091	64905.1450299291	64842.2057703492	65441.7843230177	66142.3551192597	65943.4475567136	66077.0714504684	66045.9762234087	66266.7755394343	65328.6299886827	65366.4695609442	65545.4075577322	65525.3927164691	66133.3830574109	64915.6265198794	60872.6321267572	61131.2596413971	61547.0590214558	60797.321768407	60910.9998929974	61155.0548435683	60569.5057607228	60875.552634414	61398.652753575	62335.4881619087	61764.608909284	60868.6767743043	60668.389394224	61212.5803963464	61005.700067377	60610.8511849041	61865.5287546618	59965.9614792223	60666.7431075236	60272.117789058	61772.7769552411	62139.3120196605	61979.6947189904	59991.7677517194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_NP_26	62112.9682496621	62478.8283287635	62882.0420424606	63798.5111907603	63016.8001022634	62721.5363082454	62284.5549844697	62331.7516605216	62147.2536645743	62704.9315701062	60949.2359901769	64055.1213688446	64328.8869215553	62672.0390888936	62292.7592568865	62450.0097639812	62865.2032638286	62761.3870482004	63387.3327085074	64076.2570507944	63911.7785140741	64015.1371059526	63963.8023726978	64234.3477619774	63305.1863075943	63274.4391820012	63500.1517323915	63503.4605648898	64091.589340941	62909.5956055113	58928.4646043276	59221.2082053468	59603.1547875346	58885.0747276755	58997.6141175756	59222.0608335914	58647.8233032547	58945.1195623956	59477.1437897119	60395.6749781086	59775.3885912589	58958.589522282	58771.9425549544	59277.2552789054	59069.8678306259	58722.5634745736	59905.8382479449	58092.0528670824	58759.788478535	58364.6040407453	59826.3726063991	60188.0249932541	60028.5525515834	58120.6629790255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_NP_28	64284.698384852	64628.0246280395	65083.5965031669	65947.5878348728	65157.8481191729	64916.0601824834	64472.6164348088	64511.393004473	64317.6905157116	64907.0255809459	63119.6660950237	66261.2122279153	66589.2130999131	64844.5920925646	64498.6917192793	64597.8177521099	65000.0145765024	64959.3862573886	65599.7186593515	66251.331085924	66056.2655188418	66175.5183178991	66133.5069987802	66372.3043887271	65495.6840244964	65455.960105388	65636.386301661	65612.0534500364	66263.8126145917	65018.8711609712	60977.9727114801	61273.3717099003	61649.4568720175	60935.1048970476	61086.9049993576	61306.60609752	60714.1507452046	61020.6754710539	61506.7300189361	62476.8322440933	61884.7577295142	60993.7602624147	60819.2582719455	61321.0735968429	61148.3708691845	60777.0192724251	61981.3970860371	60152.3670069269	60813.3791695512	60419.8828657124	61947.0921326174	62301.253538168	62119.1253298769	60131.2702390558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_PR_1	60603.6613774033	60951.3976421662	61338.2930674291	62183.0334771221	61507.9028139652	61182.261096589	60748.3334459012	60795.9612831262	60629.438080882	61163.1191816597	59483.1288616062	62462.8771969191	62746.8656051371	61127.1022693291	60776.2839310747	60921.9293094005	61282.1004611231	61206.9991323901	61830.9286764096	62471.0391843579	62280.0333063614	62424.1756034408	62382.1868395715	62581.0586905003	61805.8659504416	61708.7125850002	61911.645488125	61867.9556701338	62504.8638127771	61338.2666499265	57450.9186522942	57760.7852423924	58085.1896378096	57433.3341062536	57540.0645737443	57774.6347584979	57186.752386187	57487.0034004353	57993.3097168241	58874.8076205816	58273.2562861857	57473.9306810743	57305.5042711591	57816.0803197633	57613.0066379226	57250.2946558043	58412.2329698594	56661.4367869409	57288.4335390121	56919.5568947188	58352.8782016198	58705.6680730147	58518.0768991758	56657.986108647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_PR_2	60249.6094915084	60605.0620191795	61001.0609403681	61801.2963783254	61088.2908177127	60844.6244464893	60430.1853933449	60486.0640467613	60288.8711966189	60843.4613844739	59175.745294885	62105.9113081537	62408.3586369907	60777.1694955969	60453.8958323998	60563.6642463644	60930.6879075239	60881.7169942439	61480.4034810789	62154.5079617411	61958.2741941296	62121.3426767945	62087.5435762198	62264.1220422989	61445.8454119688	61400.5128737927	61583.2794549783	61552.809135045	62161.5418606309	61023.116848796	57068.7827140074	57378.8181116239	57703.3164935932	57058.051586532	57174.811229221	57399.8553729954	56811.8234424413	57108.0994176143	57601.2312042574	58508.1207950676	57925.9833414197	57073.7355342872	56947.8156539375	57403.97765069	57244.6477959529	56882.9436969677	58031.2162145192	56284.1705695595	56922.0497831581	56534.6114626044	57972.4532399742	58343.9796762933	58158.7512579727	56263.9722328254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_PR_3	61783.0545568986	62168.4137285316	62578.8673726744	63503.599929765	62745.1950122507	62445.4509019567	62016.9254422323	62042.5589643244	61879.8939511649	62432.3253523307	60701.8397096035	63759.5251100597	64082.7805629209	62384.0805797456	62066.573286919	62166.3424077926	62565.8502616276	62516.0064390542	63122.2662617416	63805.5098061763	63591.8229458515	63737.2319728536	63679.3880069201	63895.1283820326	63047.0600944383	62960.4688435071	63175.442915356	63125.7601149885	63757.3894627455	62573.6932990206	58689.7255451434	58963.0265448009	59332.3669007677	58669.4313325886	58787.9990949054	59027.561762797	58388.1160591318	58727.7106053316	59225.2187182421	60154.1510261998	59587.9843570664	58731.2301531981	58527.0298407526	59029.0177457855	58841.1041769738	58464.696934202	59681.5594282849	57851.4625711492	58503.3533707695	58181.3206026017	59608.9645307758	59978.9654182651	59790.9173514892	57876.4824563644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_PR_5	62396.3774790899	62808.0885294355	63225.4270200612	64113.2311256571	63375.6291918263	63057.4409570626	62635.30518421	62648.1897007472	62488.5288084007	63044.1457828146	61296.8062380916	64391.5650342303	64731.579002996	62989.2603749586	62652.4492997726	62760.6475830745	63136.7827285863	63094.3403637231	63741.425094787	64404.5137396947	64190.2098201185	64317.7049120036	64308.3138732683	64496.6416947926	63670.1925107175	63619.8262410148	63808.8258618591	63743.391073688	64445.4124348024	63197.2838414024	59137.2716480834	59441.229332035	59775.8816397893	59138.1305397856	59241.0679713765	59458.4480785639	58854.8851715355	59203.2301955596	59730.2098124567	60641.3534939946	60044.7063368403	59202.3557086334	59033.5061358065	59519.7162368763	59341.8723304279	58930.881738534	60148.7270031645	58326.2426804029	58981.9577072364	58595.8933585303	60069.7066999255	60481.0512698531	60259.5477152254	58321.7080941521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_Zo_IVT_PR_7	65062.8780156843	65470.2926393327	65876.0758576823	66803.2181551526	65979.1520707842	65738.5111551123	65268.9042995777	65306.2773469155	65136.2852567099	65711.7711906352	63874.039868066	67126.1637717282	67482.0393626389	65667.0747219695	65335.3602660256	65439.7930900889	65850.5185774639	65794.260870344	66451.9022863013	67150.4071831902	66957.4577888761	67095.3574490747	67056.8482605601	67258.2747545105	66332.4644590354	66304.0047597602	66548.7124047026	66484.899355836	67153.4238875841	65911.2101698222	61595.0488062249	61913.2176278008	62285.8461144576	61568.7291859496	61703.5593647217	61926.7429605226	61272.2828205828	61626.3405190793	62166.7272334173	63162.6238980503	62509.1833809057	61647.2683185007	61434.0393009607	61955.3661123456	61792.4093756277	61363.9558527568	62619.9884269871	60734.3302223425	61418.6763168885	60997.3511463108	62557.9417295606	62950.3425751691	62767.250512108	60708.7083949464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_NP_1	64464.5253405063	64821.8071517312	65290.6220151923	66219.2037343487	65399.2723341509	65152.0335960074	64702.0525324479	64722.6271291665	64548.4714459906	65119.6838609514	63331.3832554291	66507.1187530455	66821.0120891141	65100.9661953604	64731.5849936626	64850.2353959027	65276.1236888751	65191.3386242816	65827.4345829311	66468.6398831274	66267.620931484	66396.978198321	66343.3564113596	66602.3475031398	65696.1551454929	65666.19916814	65841.5286303678	65809.8580603215	66453.6392067542	65219.3801683533	61294.2285973826	61570.4835422305	61987.6416314778	61283.7358529136	61417.5894158071	61625.0167766778	61006.6007798965	61349.599912452	61860.8042563676	62817.9750323796	62235.8298396575	61348.5614096358	61141.9145796646	61652.3162839534	61471.0438629083	61082.1460517528	62302.2937183708	60460.291387442	61103.3156236092	60730.1688531412	62289.094657855	62586.2295625977	62461.2893319258	60463.7494196209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_NP_2	62861.0859164846	63267.9525511492	63614.3765494403	64555.7017186106	63771.4130752819	63474.2641942279	63023.7820021476	63045.6398242378	62910.2046754558	63438.4602310502	61708.0620398874	64810.6580038	65145.7310396991	63448.0240928307	63117.4829597931	63233.7190383338	63657.9330532814	63525.8540443599	64175.0443861192	64775.7028006132	64586.771553097	64739.7335055001	64613.3104003671	64913.2176276194	63988.1069133079	63942.1785477952	64211.9551590682	64170.6821865548	64770.8209951777	63553.7141858513	59706.4696569817	59973.2477035018	60358.4808118849	59656.3704741783	59783.2012119393	60036.8446054344	59412.7950621826	59726.3741310096	60227.2962168891	61127.0417073382	60574.0077599683	59730.4069702057	59525.4891778089	60084.1727430064	59868.7607178639	59476.6706033917	60679.6097395992	58859.3385994026	59517.6076357264	59143.7930327525	60640.9891322844	60903.2312411809	60820.8373302289	58874.4640683703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_NP_3	63044.6758441677	63417.2389007317	63860.4057383809	64775.7178340883	64000.0477888359	63707.5202092798	63272.9132840525	63304.9738484337	63109.572468789	63671.9967200045	61912.7781153713	65011.9945506162	65352.9378835622	63632.782129171	63308.0673039538	63431.0328178961	63842.7026143376	63774.9627484303	64394.3441694279	65098.9185814091	64884.0680812386	65053.6962348609	64935.7256198525	65186.3294304283	64282.9334666444	64247.8947257626	64490.9235828733	64496.7804395675	65100.1746162302	63896.5056745689	60055.4153584302	60323.6242237466	60707.3333506767	59973.5792183722	60066.2079156745	60353.9587570376	59755.6393416141	60051.2158466963	60585.26004362	61492.1728984895	60916.4562349769	60073.4862569575	59862.9565478191	60423.4543936848	60179.6079925696	59776.1339743803	61030.5703983772	59200.5326463976	59856.6812840733	59488.6960209108	60967.9030624708	61275.6965632071	61172.103855094	59184.0374571238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_NP_4	61764.0878035767	62079.8938634195	62539.5116511421	63456.760026091	62734.0213881653	62389.5058650385	61942.3604967743	62000.2065231806	61812.8357434971	62363.2035936333	60647.1170858531	63704.7494649703	63965.9895759205	62312.1345807584	61988.8743749013	62123.7467301395	62514.1678965567	62428.8439625065	63045.3123811631	63700.6598173291	63505.8012799902	63627.5913877861	63571.4952920218	63811.6130932534	62948.5788618636	62886.2440729642	63084.3182078538	63099.4120512851	63676.4460458046	62511.2387775924	58617.5770062504	58881.0361751241	59267.9978678975	58532.5324254818	58628.8104973386	58917.3451172316	58314.3909808096	58637.0748882528	59116.8309569713	60048.2136752323	59470.0159332659	58653.316104102	58436.0943593575	58949.1064143409	58741.7323260931	58365.1406430075	59554.9310021075	57775.474457933	58421.5349136812	58083.0857114539	59515.9166610944	59811.4878643147	59712.6796751293	57774.2145963609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_NP_5	62766.2184754981	63105.5801647926	63572.8716755785	64471.0519270862	63728.7757798147	63419.4037766305	62985.0310745359	63034.5830741485	62833.8732331218	63397.5636053745	61636.4596249356	64743.7639341853	65043.0563245589	63364.7321742174	63010.1147662274	63142.2718555836	63552.7764300638	63470.3743315028	64096.531179855	64756.8009720505	64569.520217794	64675.973221328	64641.111302542	64878.2621347623	63991.454405815	63959.3626056693	64138.046463374	64155.3516940505	64749.9530311617	63555.1913714302	59612.7393403345	59881.0462528252	60276.0932169687	59539.4243325991	59645.277909636	59904.1233233841	59314.9634436859	59622.2102385403	60146.5435144723	61069.829803304	60487.2772872044	59634.7824013406	59425.3540920551	59968.0394890609	59744.2767996738	59352.6678692414	60591.2807548314	58773.0541761132	59432.243050137	59051.6529162291	60516.4949406684	60839.9248199491	60723.0566225484	58759.1212803759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_NP_6	63377.7205559867	63733.8255453914	64157.1876846829	65012.0713373797	64255.2190003106	64013.6152963312	63578.5065328478	63615.0356347923	63415.8648920618	63990.7175602528	62233.5601061994	65326.8144944364	65642.5837462729	63907.7636580819	63600.6459002588	63735.3303166824	64140.2598086213	64061.895756568	64676.3592112268	65412.3156250567	65197.6198531411	65367.121767157	65270.1168998116	65519.4217547661	64641.209454699	64602.9262160974	64808.9910088163	64779.2896932447	65396.1068630818	64206.6825393487	60220.267733989	60469.9827028051	60881.4680558841	60117.4480312943	60231.736924579	60502.6651869671	59962.4663136881	60222.8427636906	60711.8687508518	61651.170778607	61089.8359831745	60188.8508386827	59996.2978963971	60561.0509633771	60347.8471676561	59967.668122776	61165.8173394656	59328.3828654507	60022.1949227736	59651.6416671218	61108.6142212916	61436.891622286	61277.9144096553	59347.6898111885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_PR_1	65794.5711499819	66168.6422372915	66616.2121253033	67511.074616293	66683.022192433	66456.3126374138	66004.6969439088	66030.992718487	65855.4754495394	66435.8157543129	64597.7040022418	67834.0944143045	68189.8025732706	66393.6115190749	66055.4424071963	66169.3414658711	66606.7349252721	66519.45608625	67169.7308982378	67876.9097378979	67666.8279207702	67813.3608193652	67733.4680630395	68000.1955738092	67061.8293139562	67000.5394254393	67228.2718504373	67197.8343535254	67850.6740052279	66556.1021944243	62447.9512758475	62729.3204082525	63124.3385124802	62398.6685336682	62528.2768268639	62800.5829510097	62156.8931572194	62464.6600343645	62990.4032075272	63973.3362321798	63370.6286322445	62474.5208092621	62246.3176754715	62824.9768482227	62602.9924267221	62195.2048134129	63467.027220564	61566.3214562221	62260.2197704519	61882.501970472	63406.6803907838	63727.4439799957	63599.6332725705	61576.0693166593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_PR_2	63187.2722256419	63544.4323627216	64004.6235812971	64794.7694418486	64037.8289442749	63827.6907622527	63400.0370400738	63471.8003362119	63239.1626417982	63812.8858094238	62048.010582902	65172.6217057699	65501.7093073293	63745.0244154791	63425.0861586481	63550.4755150873	63965.7879625632	63914.4636749882	64518.2518149981	65188.8924660404	64987.1510370477	65152.5710575466	65056.9278155001	65306.2159146529	64446.8964245147	64379.0633092043	64595.5841295298	64577.2036878699	65189.4444828148	63981.0562034901	60087.7271093641	60341.0464207794	60746.5091366675	60001.0512814198	60120.7030765644	60391.0091715323	59811.9284889349	60093.5548817587	60584.8032469139	61507.1917872427	60961.1647930237	60070.5923350844	59869.4710138904	60447.066620167	60226.7988627712	59839.2431592406	61052.553287118	59193.6531078356	59893.3097983703	59542.2027982098	60981.0099660275	61250.9488084423	61126.5720519638	59225.0126602502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_PR_3	63465.3280038044	63825.2718091011	64221.9368307116	65197.4315376273	64398.570891573	64113.7000772376	63651.7142794216	63684.6618471072	63505.7678990214	64072.8857290652	62270.0989452913	65481.9468479663	65771.0355341203	64058.4310195391	63693.3473957525	63828.2046118988	64237.4599638162	64143.9048013641	64787.5304961196	65427.749903815	65264.2677716881	65350.0099973306	65311.1359034074	65570.2399528989	64654.4507316463	64592.1050301148	64808.368119825	64799.8657389271	65442.6844752644	64224.100272923	60235.1742139457	60531.7450164865	60925.7247990838	60190.2377594627	60313.6960792015	60541.9987422231	59943.0765671341	60276.4915340586	60792.0706505678	61754.6678269412	61136.8138071064	60295.2442265598	60086.1717359555	60588.7178791418	60372.0648209204	60013.1663147967	61203.0664704781	59397.4278027974	60048.3367994706	59665.0974855916	61180.4731584022	61521.9152902219	61347.3670666728	59407.910519482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VITRO_LIG_SW_IVT_PR_4	63174.9970907713	63571.3905647491	63958.3124667221	64828.533928681	64072.4927859226	63772.636196859	63357.2004522596	63379.0111736893	63215.2534360993	63777.4250446223	62020.4773317252	65089.6537021143	65422.4669543282	63754.4767994914	63394.8764522752	63537.9946206713	63949.7766854702	63828.7509367251	64472.8428703834	65103.9360288913	64888.296517027	65063.4340272163	64948.6008890023	65220.2101427785	64317.8103645109	64264.5463180181	64493.3307869021	64466.8881986809	65081.3753930499	63855.3891578556	59849.1680519781	60121.8849214193	60498.1160923836	59818.8403749074	59925.0681366116	60178.6832450245	59585.9260163976	59879.2642658673	60394.8560430995	61271.5566019668	60747.1657893536	59888.4394445827	59685.9488034613	60212.0788451868	60010.5623627148	59614.7562070001	60833.3810750052	59017.1023291045	59676.2658610503	59270.4070995993	60761.5113795818	61077.4910922053	60982.8672439691	59038.1652779829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
